Datum_Zeit (UTC +2h),Radiation (W/m2),Precipitation (mm),Wind_mean (m/s),Wind direction (°),Temperature (°C)
30.07.2018 06:00,1,0,0.6,214,14.6
30.07.2018 06:10,3,0,0.3,241,15.1
30.07.2018 06:20,7,0,0.2,256,14.9
30.07.2018 06:30,13,0,0.2,176,15.1
30.07.2018 06:40,18,0,0.3,212,15
30.07.2018 06:50,24,0,0.5,235,15.1
30.07.2018 07:00,64,0,0.3,220,15.3
30.07.2018 07:10,91,0,0.3,228,15.7
30.07.2018 07:20,116,0,0.6,262,16
30.07.2018 07:30,130,0,0.3,269,16.3
30.07.2018 07:40,170,0,0.2,22,16.7
30.07.2018 07:50,199,0,0.2,345,17.2
30.07.2018 08:00,227,0,0.5,24,17.8
30.07.2018 08:10,256,0,0.4,346,18.3
30.07.2018 08:20,283,0,0.1,321,18.8
30.07.2018 08:30,312,0,0.5,269,19.7
30.07.2018 08:40,342,0,0.8,269,20
30.07.2018 08:50,374,0,0.6,258,20.4
30.07.2018 09:00,404,0,0.9,264,20.9
30.07.2018 09:10,433,0,0.7,239,21.4
30.07.2018 09:20,462,0,0.8,243,21.8
30.07.2018 09:30,492,0,1.1,212,23.3
30.07.2018 09:40,519,0,1.2,152,22.9
30.07.2018 09:50,546,0,1.8,150,23.6
30.07.2018 10:00,573,0,1.3,131,23.8
30.07.2018 10:10,601,0,1.4,191,24.6
30.07.2018 10:20,628,0,1.3,128,24.6
30.07.2018 10:30,653,0,1,148,25.3
30.07.2018 10:40,676,0,1,133,25.2
30.07.2018 10:50,700,0,0.9,222,25.1
30.07.2018 11:00,722,0,1,282,25.6
30.07.2018 11:10,743,0,0.6,355,26.1
30.07.2018 11:20,762,0,0.7,347,26.4
30.07.2018 11:30,778,0,0.7,3,26.2
30.07.2018 11:40,797,0,0.7,340,26.8
30.07.2018 11:50,805,0,0.8,48,27.4
30.07.2018 12:00,818,0,1,212,27.8
30.07.2018 12:10,829,0,1.3,40,28.1
30.07.2018 12:20,841,0,2,20,28.3
30.07.2018 12:30,853,0,1,11,27.9
30.07.2018 12:40,857,0,1.6,336,28.6
30.07.2018 12:50,869,0,1.7,34,28.9
30.07.2018 13:00,878,0,1.1,37,29.4
30.07.2018 13:10,889,0,1.9,14,29.4
30.07.2018 13:20,897,0,1.5,19,29
30.07.2018 13:30,899,0,1,253,29.9
30.07.2018 13:40,900,0,1.2,287,30.1
30.07.2018 13:50,886,0,2,336,30.1
30.07.2018 14:00,869,0,1.6,27,30
30.07.2018 14:10,801,0,1,87,30.1
30.07.2018 14:20,901,0,1.4,319,30.5
30.07.2018 14:30,883,0,2,357,30.9
30.07.2018 14:40,872,0,1.4,144,30.2
30.07.2018 14:50,864,0,2.2,95,31.2
30.07.2018 15:00,855,0,1.7,25,30.8
30.07.2018 15:10,848,0,1.4,317,31.5
30.07.2018 15:20,834,0,2.6,334,31.1
30.07.2018 15:30,810,0,2.3,313,31.4
30.07.2018 15:40,786,0,2.7,244,31.6
30.07.2018 15:50,770,0,2,204,31.3
30.07.2018 16:00,754,0,2.2,252,31.5
30.07.2018 16:10,732,0,2.6,301,31.7
30.07.2018 16:20,715,0,2,329,31.1
30.07.2018 16:30,668,0,1.4,274,31.2
30.07.2018 16:40,694,0,1.8,276,31.8
30.07.2018 16:50,683,0,2,312,31.3
30.07.2018 17:00,667,0,1.6,315,31.5
30.07.2018 17:10,628,0,1.1,54,31.5
30.07.2018 17:20,505,0,1.2,247,32
30.07.2018 17:30,561,0,1.4,257,32
30.07.2018 17:40,546,0,1.1,245,32.1
30.07.2018 17:50,487,0,1.8,233,31.8
30.07.2018 18:00,419,0,1.3,296,31
30.07.2018 18:10,314,0,0.5,222,31.1
30.07.2018 18:20,432,0,1.5,240,31.6
30.07.2018 18:30,334,0,1,175,31.3
30.07.2018 18:40,257,0,1.3,214,31.2
30.07.2018 18:50,270,0,1.6,239,31.1
30.07.2018 19:00,346,0,1.6,241,31.4
30.07.2018 19:10,185,0,1.8,248,30.2
