Datum_Zeit (UTC +2h),Radiation (W/m2),Temperature (°C),Precipitation (mm),Wind_mean (km/h),Wind direction (°)
24.06.2019 06:00,306,17.6,0,1.4,357
24.06.2019 06:10,333,18.5,0,1.4,345
24.06.2019 06:20,363,19.2,0,2.5,23
24.06.2019 06:30,393,19.4,0,3.2,10
24.06.2019 06:40,425,19.9,0,2.5,15
24.06.2019 06:50,459,20.1,0,4,1
24.06.2019 07:00,490,20.5,0,4.7,9
24.06.2019 07:10,522,20.4,0,5.8,354
24.06.2019 07:20,558,20.7,0,7.6,7
24.06.2019 07:30,552,20.9,0,6.1,21
24.06.2019 07:40,616,21.3,0,6.8,38
24.06.2019 07:50,637,21.9,0,6.5,39
24.06.2019 08:00,629,22,0,6.5,23
24.06.2019 08:10,700,22,0,7.6,50
24.06.2019 08:20,728,22.9,0,7.6,55
24.06.2019 08:30,751,22.6,0,8.3,12
24.06.2019 08:40,769,23,0,8.3,15
24.06.2019 08:50,745,23.1,0,9,30
24.06.2019 09:00,772,23.9,0,7.6,37
24.06.2019 09:10,810,23.8,0,9,26
24.06.2019 09:20,824,23.8,0,7.6,7
24.06.2019 09:30,836,24.4,0,8.3,16
24.06.2019 09:40,804,24.6,0,8.6,12
24.06.2019 09:50,815,24.9,0,10.4,9
24.06.2019 10:00,823,25.2,0,10.4,6
24.06.2019 10:10,814,25.3,0,11.2,3
24.06.2019 10:20,817,24.9,0,12.6,354
24.06.2019 10:30,796,25.5,0,10.8,4
24.06.2019 10:40,838,26,0,11.2,1
24.06.2019 10:50,820,26,0,12.6,348
24.06.2019 11:00,841,26.1,0,8.6,352
24.06.2019 11:10,874,26,0,10.1,359
24.06.2019 11:20,892,27,0,9.4,17
24.06.2019 11:30,918,27,0,11.5,359
24.06.2019 11:40,917,27.1,0,9.4,13
24.06.2019 11:50,907,26.9,0,7.9,351
24.06.2019 12:00,892,27.5,0,10.4,26
24.06.2019 12:10,825,27.7,0,10.4,23
24.06.2019 12:20,809,27.9,0,7.2,22
24.06.2019 12:30,802,28.1,0,12.6,3
24.06.2019 12:40,777,28.1,0,10.1,359
24.06.2019 12:50,765,28.6,0,9.7,359
24.06.2019 13:00,807,28.3,0,9.4,349
24.06.2019 13:10,823,28.4,0,10.4,347
24.06.2019 13:20,842,29.6,0,8.6,349
24.06.2019 13:30,843,28.9,0,7.2,356
24.06.2019 13:40,876,29,0,6.8,16
24.06.2019 13:50,828,29.1,0,7.6,10
24.06.2019 14:00,837,29.3,0,9,8
24.06.2019 14:10,819,29.2,0,8.6,359
24.06.2019 14:20,776,29.3,0,7.6,347
24.06.2019 14:30,692,29.1,0,9,343
24.06.2019 14:40,686,29.3,0,9.4,8
24.06.2019 14:50,646,29.1,0,6.8,7
24.06.2019 15:00,504,28.8,0,7.9,352
24.06.2019 15:10,584,29.2,0,7.6,10
24.06.2019 15:20,665,29.1,0,8.6,359
24.06.2019 15:30,571,28.9,0,9,332
24.06.2019 15:40,584,29.1,0,9.7,346
24.06.2019 15:50,573,29.3,0,7.9,345
24.06.2019 16:00,550,29.5,0,9,1
24.06.2019 16:10,539,29.5,0,10.1,2
24.06.2019 16:20,494,29.3,0,9.4,26
24.06.2019 16:30,458,29.6,0,8.6,20
24.06.2019 16:40,422,28.7,0,10.4,3
24.06.2019 16:50,366,28.3,0,10.8,1
24.06.2019 17:00,299,28.2,0,9.4,4
24.06.2019 17:10,241,28.2,0,10.4,2
24.06.2019 17:20,201,28.2,0,8.3,4
24.06.2019 17:30,146,27.4,0,8.3,8
24.06.2019 17:40,151,27.4,0,6.8,15
24.06.2019 17:50,135,27.1,0,7.2,18
24.06.2019 18:00,102,27.4,0,7.9,31
24.06.2019 18:10,86,27.4,0,6.5,42
24.06.2019 18:20,72,26.1,0,7.6,39
24.06.2019 18:30,62,25.8,0,7.6,24
24.06.2019 18:40,53,26,0,7.6,21
24.06.2019 18:50,43,25,0,7.2,22
24.06.2019 19:00,32,25,0,6.8,28
24.06.2019 19:10,22,24,0,6.5,25
24.06.2019 19:20,13,24.4,0,2.5,19
24.06.2019 19:30,5,24.8,0,2.5,335
24.06.2019 19:40,1,24,0,2.9,319
24.06.2019 19:50,0,22.7,0,6.8,15
24.06.2019 20:00,0,22.2,0,8.6,20
24.06.2019 20:10,0,21.9,0,4,358
